Sample data,,,,"Coordonnées GPS (0, 15, 30 minutes)",,,,,,"Navigation, météo",,,,,Data filtered volume / surface,,,,,,,
Sample,Sea,Date,Start Time (UTC),Start Latitude,Start Longitude,Mid Latitude,Mid Longitude,End Latitude,End Longitude,Wind force (B),Wind speed (kt),Wind direction (°),Sea state (B),Water temperature (°C),Boat speed (kt),Start flowmeter,End flowmeter,Filtered volume (m3),Filtered distance (m),Filtered surface (m²),Filtered surface (km²),Commentaires
 EM22-01 ,Tyrrhenian sea,11/07/2022,17h22,42°07.843 N,11°37.247 E,42°08.214 N,11°36.646 E,42°08.570 N,11°36.054 E,3,12,255,3,"24,3","2,2",53827,61885,290,2037,1222,"0,001",
 EM22-02 ,Tyrrhenian sea,12/07/2022,10h29,"42°21,375 N","11°09,419 E","42°21,675 N","11°08,459 E","42°22,011 N","11°07,582 E",1,4,110,1H,"24,6","2,9",62345,71801,340,2685,1611,"0,002","Canal entre Ile Giglio et Santa Liberata, pas mal de traffic, côtier < 1 mile"
 EM22-03 ,Tyrrhenian sea,12/07/2022,16h57,"42°36,285 N","10°51,829 E","42°36,834 N","10°50,918 E","42°37,147 N","10°50,335 E",3,8,200,3,"25,7","2,7",72611,81778,330,2500,1500,"0,002",
 EM22-04 ,Tyrrhenian sea,13/07/2022,11h45,"42°46,665 N","10°26,283 E","42°47,287 N","10°26,856 E","42°48,070 N","10°27,219 E",2,4,120,2,"26,0","2,9",91897,101445,344,2685,1611,"0,002", SE Ile d'Elbe < 1miles côte + traffic maritime 
 EM22-05 ,Ligurian sea,13/07/2022,17h50,"42°48,271 N","10°21,135 E","42°48,292 N","10°20,385 E","42°48,402 N","10°19,641 E",1,4,,2,"27,8","2,1",1547,7513,215,1945,1167,"0,001","Traffic maritime, zone portuaire"
 EM22-06 ,Ligurian sea,13/07/2022,23h23,"42°50,916 N","10°13,384 E","42°050,426 N","10°13,580 E","42°49,903 N","10°13,823 E",,,,2,"26,7","2,2",8008,15165,258,2037,1222,"0,001","Proximité porto ferraio, transport maritime important"
 EM22-07 ,Tyrrhenian sea,14/07/2022,16h00,"42°46,246 N ","10°03,417 E","42°46,125 N","10°02,660 E","42°46,012 N","10°01,915 E",2,5,230,2,"29,3","2,3",15579,21722,221,2130,1278,"0,001",
EM22-08,Ligurian sea,16/07/2022,18h15,"42°53,890 N","09°28,945 E","42°54,499 N","09°28,856 E","42°55,097 N","09°28,732 E",2,5,150,2,"27,5","2,4",23118,30060,250,2222,1333,"0,001",Longer côtes cap corse
EM22-09,Ligurian sea,17/07/2022,11h09,"42°59,552 N","09°28,147 E","42°59,067 N","09°28,870 E","42°58,729 N","09°29,490 E",3,10,100,3,"26,7","2,5",30749,39601,319,2315,1389,"0,001","Prélèvement face au vent, à contre courant (0,8 nœuds de courant), en remontant vers Macinaggio"
EM22-10,Ligurian sea,17/07/2022,16h40,"42°59,236 N","09°20,050 E","42°59,654 N","09°19,766 E","42°58,105 N","09°19,506 E",2,10,100,2,"28,2","2,7",40445,49235,316,2500,1500,"0,002","Proche village Centuri, côte sauvage et escarpée, quelques bateaux de plaisance, distance côte = 1 mile"
