Sample,Size (mm),Type,Color,Number
EM22-01,2.5 - 5,Line,Blue,1
EM22-01,1 - 2.5,Fragment,White,4
EM22-02,>5,Fragment,Grey,4
EM22-02,>5,Fragment,Blue,1
EM22-02,>5,Fragment,Green,1
EM22-02,>5,Fragment,White,6
EM22-02,>5,Fragment,Red,1
EM22-02,>5,Fragment,Transparent,3
EM22-02,>5,Film,White,1
EM22-02,>5,Film,Transparent,7
EM22-02,>5,Line,Green,3
EM22-02,>5,Line,White,1
EM22-02,>5,Line,Red,1
EM22-02,>5,Line,Transparent,1
EM22-02,>5,Foam,White,2
EM22-02,2.5 - 5,Fragment,Black,2
EM22-02,2.5 - 5,Fragment,green,1
EM22-02,2.5 - 5,Fragment,White,3
EM22-02,2.5 - 5,Fragment,Yellow,1
EM22-02,2.5 - 5,Fragment,Transparent,2
EM22-02,2.5 - 5,Film,Blue,1
EM22-02,2.5 - 5,Film,White,1
EM22-02,2.5 - 5,Film,Transparent,4
EM22-02,2.5 - 5,Line,Green,1
EM22-02,1 - 2.5,Fragment,Grey,5
EM22-02,1 - 2.5,Fragment,Blue,6
EM22-02,1 - 2.5,Fragment,green,2
EM22-02,1 - 2.5,Fragment,White,30
EM22-02,1 - 2.5,Fragment,Yellow,2
EM22-02,1 - 2.5,Fragment,Orange,2
EM22-02,1 - 2.5,Fragment,Transparent,36
EM22-02,1 - 2.5,Film,Grey,9
EM22-02,1 - 2.5,Film,Blue,1
EM22-02,1 - 2.5,Film,White,3
EM22-02,1 - 2.5,Film,Orange,1
EM22-02,1 - 2.5,Film,Transparent,22
EM22-02,1 - 2.5,Line,Orange,1
EM22-03,>5,Fragment,Green,1
EM22-03,>5,Fragment,Transparent,1
EM22-03,>5,Film,Transparent,2
EM22-03,>5,Line,White,2
EM22-03,2.5 - 5,Fragment,Green,1
EM22-03,2.5 - 5,Fragment,White,4
EM22-03,2.5 - 5,Fragment,Transparent,1
EM22-03,2.5 - 5,Film,Transparent,3
EM22-03,1 - 2.5,Fragment,Black,1
EM22-03,1 - 2.5,Fragment,Blue,2
EM22-03,1 - 2.5,Fragment,White,9
EM22-03,1 - 2.5,Fragment,Transparent,4
EM22-04,>5,Fragment,Green,1
EM22-04,>5,Fragment,White,2
EM22-04,>5,Fragment,Transparent,2
EM22-04,>5,Film,Transparent,2
EM22-04,>5,Line,White,3
EM22-04,>5,Line,Yellow,1
EM22-04,2.5 - 5,Fragment,Transparent,3
EM22-04,2.5 - 5,Film,Transparent,4
EM22-04,2.5 - 5,Line,White,1
EM22-04,1 - 2.5,Fragment,Black,3
EM22-04,1 - 2.5,Fragment,Blue,2
EM22-04,1 - 2.5,Fragment,Green,1
EM22-04,1 - 2.5,Fragment,White,8
EM22-04,1 - 2.5,Fragment,Yellow,3
EM22-04,1 - 2.5,Fragment,Transparent,12
EM22-04,1 - 2.5,Film,Transparent,1
EM22-04,1 - 2.5,Line,White,1
EM22-05,>5,Fragment,Black,3
EM22-05,>5,Fragment,White,10
EM22-05,>5,Fragment,Orange,1
EM22-05,>5,Fragment,Transparent,2
EM22-05,>5,Film,Black,1
EM22-05,>5,Film,Blue,1
EM22-05,>5,Film,Green,1
EM22-05,>5,Film,White,12
EM22-05,>5,Film,Transparent,38
EM22-05,>5,Line,Black,3
EM22-05,>5,Line,Blue,2
EM22-05,>5,Line,green,4
EM22-05,>5,Line,White,3
EM22-05,>5,Line,Orange,1
EM22-05,>5,Line,Transparent,3
EM22-05,>5,Line,Multicolor,1
EM22-05,2.5 - 5,Fragment,Black,6
EM22-05,2.5 - 5,Fragment,Blue,4
EM22-05,2.5 - 5,Fragment,White,7
EM22-05,2.5 - 5,Fragment,Yellow,1
EM22-05,2.5 - 5,Fragment,Transparent,12
EM22-05,2.5 - 5,Film,Blue,1
EM22-05,2.5 - 5,Film,White,8
EM22-05,2.5 - 5,Film,Transparent,47
EM22-05,2.5 - 5,Line,Blue,1
EM22-05,2.5 - 5,Line,Green,2
EM22-05,2.5 - 5,Line,White,3
EM22-05,2.5 - 5,Line,Orange,1
EM22-05,2.5 - 5,Line,Transparent,3
EM22-05,2.5 - 5,ESP,White,1
EM22-05,1 - 2.5,Fragment,Black,14
EM22-05,1 - 2.5,Fragment,Blue,5
EM22-05,1 - 2.5,Fragment,Green,2
EM22-05,1 - 2.5,Fragment,White,53
EM22-05,1 - 2.5,Fragment,Yellow,2
EM22-05,1 - 2.5,Fragment,Orange,1
EM22-05,1 - 2.5,Fragment,Transparent,33
EM22-05,1 - 2.5,Film,Blue,1
EM22-05,1 - 2.5,Film,White,13
EM22-05,1 - 2.5,Film,Transparent,40
EM22-05,1 - 2.5,Film,Multicolor,1
EM22-05,1 - 2.5,Line,Black,1
EM22-05,1 - 2.5,Line,Blue,1
EM22-05,1 - 2.5,Line,Green,1
EM22-05,1 - 2.5,Line,White,1
EM22-05,1 - 2.5,Line,Transparent,1
EM22-06,>5,Fragment,White,3
EM22-06,>5,Fragment,Orange,1
EM22-06,>5,Film,Transparent,5
EM22-06,>5,Line,Blue,1
EM22-06,>5,Line,Transparent,5
EM22-06,2.5 - 5,Fragment,Black,3
EM22-06,2.5 - 5,Fragment,Green,1
EM22-06,2.5 - 5,Fragment,White,6
EM22-06,2.5 - 5,Fragment,Yellow,2
EM22-06,2.5 - 5,Fragment,Transparent,11
EM22-06,2.5 - 5,Film,Black,2
EM22-06,2.5 - 5,Film,White,1
EM22-06,2.5 - 5,Film,Yellow,1
EM22-06,2.5 - 5,Film,Transparent,6
EM22-06,2.5 - 5,Line,Black,2
EM22-06,2.5 - 5,Line,Blue,1
EM22-06,2.5 - 5,Line,Green,3
EM22-06,2.5 - 5,Line,White,1
EM22-06,2.5 - 5,Line,Transparent,5
